ID,Forename,Surname,Region,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021
201111,Ryan,James,London,212,209,655,1232,194,174,232,8,550,1362,1141,760,450,879,1026,649,995,170,112,935,1377,1036,155,527,0,1221,765,1142,242,220,723,749,291,1305,956,1314,329,486,664,234,398,686,931,1180,470,670,1096,536,456,611,913,1173,146,953,833,355,358,1351,1182,58,769,424,407,894,675,1090,150,1256,1212,1392,1097,123,1135,874,1324,1365,1102,850,178,780,977,977,846
201112,Zahida,Voyle,Wales,743,507,1315,746,715,83,203,624,764,1173,657,608,705,488,1101,1117,88,625,642,166,1304,1003,1155,17,738,99,939,576,107,759,40,650,239,258,3,1275,134,587,274,884,101,190,643,1258,286,1395,113,809,1168,632,441,663,592,725,441,195,1366,1398,279,250,639,1362,1173,1261,511,1260,1352,354,547,803,240,97,93,1349,497,721,602,956,312,1299,306,1083,243
201113,Jasmine,Rees,South-East,687,1332,1281,1029,734,782,665,177,1227,305,1291,1159,328,25,928,177,479,183,1338,1281,1181,603,1099,442,407,77,901,1196,329,1338,413,998,1330,218,194,121,1023,312,18,690,888,638,1218,378,1343,51,100,424,1141,9,410,822,768,176,458,395,1169,768,123,1204,1122,1024,123,774,1067,154,1081,752,778,313,997,832,162,310,415,769,951,796,343,225,837,289,1256
201114,Gregory,Morgan,South-East,1032,103,778,1104,1385,1334,762,1390,1259,1085,245,1318,465,961,408,400,577,950,868,1314,804,961,794,436,1040,1019,1036,265,180,1307,471,1039,887,818,1192,615,1068,39,786,207,913,935,1013,49,1109,1187,1259,552,115,44,863,1116,1088,924,1313,1226,545,25,117,127,129,0,548,1127,342,238,905,284,1396,74,1205,680,755,1362,1014,40,628,1037,1115,858,394,1093,1391
201115,Charlene,Thomas,London,640,119,539,1373,319,846,839,959,784,219,93,447,944,365,706,683,151,173,598,320,550,779,619,795,520,1211,489,702,1382,617,892,1384,418,168,862,742,1250,239,181,1064,514,16,801,871,110,1108,501,1283,702,971,786,1213,46,1153,1002,235,795,235,1042,77,418,881,1163,1123,1308,43,530,1348,352,469,1226,739,862,183,156,1237,1369,932,448,744,869,371,1315
201116,Rhys,Edwards,South-West,812,766,552,649,1105,847,342,1015,365,52,1217,692,618,1148,11,822,690,53,1136,193,835,109,140,515,694,81,1104,691,466,434,1375,1241,624,1191,485,559,508,1361,1145,602,1293,196,840,954,98,188,422,953,1099,820,968,599,85,249,958,382,639,1037,175,376,811,1381,83,899,1210,1195,1009,641,346,73,1066,1074,285,726,587,754,571,1189,96,1342,473,485,520
201117,Slavcho,Osman,Wales,199,724,911,1000,732,1083,315,1366,472,1154,934,379,697,489,22,50,1266,1015,817,1330,192,1088,1135,928,430,1151,658,1368,1291,1205,1233,146,330,765,616,1337,693,193,694,697,1299,1343,614,792,80,45,1332,580,744,306,339,886,1002,169,740,193,969,454,148,1148,724,1119,822,1144,1129,664,1105,350,1022,90,492,1162,1266,715,871,1174,838,597,264,1392,608,297,847
201118,Marta,Malenczyk,South-East,452,60,953,1306,756,659,588,483,559,303,447,1383,1192,998,276,698,924,18,1179,1264,269,1356,1233,657,1110,530,610,995,569,1147,755,456,926,300,874,1384,1379,1309,39,312,160,3,150,439,490,154,275,327,449,269,390,420,584,805,983,429,447,334,996,984,311,324,134,1071,361,302,784,880,995,593,407,829,254,81,435,210,438,799,435,793,402,681,1042
201119,Edward,Cartwright,London,649,103,970,599,1327,896,1337,550,1326,320,1082,444,4,837,879,222,759,310,258,1059,584,197,915,13,1195,1197,972,868,392,462,1035,950,439,206,1151,818,1076,225,326,1342,219,798,1155,1289,249,239,749,189,506,142,373,1221,1066,663,1311,1021,157,1136,1124,936,534,1202,1241,1378,303,1066,660,491,322,66,1329,1130,691,1379,772,517,343,1162,1217,24,1145,1139,814
201120,Tina,Thomas,South-West,34,21,352,57,387,907,507,1052,936,1158,380,842,542,298,186,640,503,16,960,413,61,379,766,991,1200,1001,304,102,648,816,1078,765,81,1219,7,1035,1097,230,798,918,290,1303,882,326,133,343,291,1157,1161,1028,1385,322,953,901,770,1057,69,1328,1351,1368,443,1054,706,698,511,1247,601,183,682,1253,47,1018,1258,953,1118,851,106,1085,844,137,756,906,692
201121,Romy,Storey,West-Midlands,165,510,1238,960,1035,1142,465,477,1329,1032,1120,1377,178,281,23,1008,596,82,344,1285,459,796,951,894,1321,790,267,440,1047,1143,912,498,421,292,311,1075,101,870,881,545,358,909,900,949,38,640,850,699,536,1187,749,184,1249,1115,246,348,729,1304,257,112,692,494,512,81,1351,9,1118,381,167,149,1069,1271,1211,894,85,855,24,948,912,224,637,759,1039
